product_id,uses_ad_boosts
5e9ae51d43d6a96e303acdb0,0
58940d436a0d3d5da4e95a38,1
5ea10e2c617580260d55310a,0
5cedf17ad1d44c52c59e4aca,1
5ebf5819ebac372b070b0e70,1
5ec645bafd107a02279c8c54,0
5c63a337d5e2ce4bbb3152cf,0
5e0ae5ebc2efb76ccf0a3391,0
5e6f1fb7fe4a5bb4b8bf36e5,1
5ccfaf238a8d535cec2dfb47,0
5cac5af68de7960d89e54fe0,0
5ec49d527d7044ccfa3f1c04,1
5e9da39dc737cf255eddd4bf,1
5d1db3c0e2b5cc0f74e091af,0
5cc2ce18bc97595b6549fa14,1
5c85d47641ec3b55d4d14f79,0
5cd3e795ebe403118bbc0f89,0
5b07a7c6e997b33c6f9947da,1
5a8f82375e2ae101c8913122,0
5cf648ce373ac2069fd6317d,0
57416238fc6f7d5d698f3c9f,0
5c244b73e6a1c618296f73db,0
5e1056784fff5f26e6f1745d,0
5d15731024c17f6b8b9bd97a,1
5c63adf7edc5d6528e8b1ca3,0
5bed2a42bdf0421a30e62c6c,0
5b5edbae1e222732845e655f,0
5a4f2d8f5dcd0221008b2c36,0
5e5e09065b03ef0b420f333f,1
5cc0049aca0c3b3d01a87964,0
5c9d920da94960780239d468,0
5c9ee457c233fd74ef4c8a84,1
5dc4488112f5e91a9d4bb52e,0
5b582d5ec4561c4f6b53feeb,0
5cae1d6c836ecb39e57e9e80,0
5b10cf0b7cc4492c87411045,0
5eb4dcebdaa4b90940076979,1
5c80e8a150c63d28c67b8f14,1
5e7adc5458a95b3323a3c6eb,1
5d2fd5a9af7a0c5b21369a05,0
556fbe8595528719e004fa27,0
5ea69521f5e1e65a3c70faa8,0
5ea7e2d999ecf941204c42ee,1
5e702eb03aa1f42076ffabc9,0
57d3bc906cfeb9135f44ded5,1
5c136c3cb870cf4e458afee4,0
5e9a74e447f7d92c8db8d14b,0
5af6bc9c13927d50370db58a,0
5d1573a55a16864c5de706ab,0
5c9212fc8de79667e3c7ca59,0
5ea2877224b9643185e52b58,0
5d806ae97c339c307264cf76,0
5ee717cbcb636e7b8b597fc3,1
5ebb9faea86f7a4d86e2f6fb,1
5ceb62be9795ee4693f2cd00,1
5af519e189a29b15fca1b13b,1
5e81acbde187530740f207c6,0
5c879aba202e6b38cd317164,0
5ed1b644b1e34008ce012d4b,0
5d52b1d7314eb61030644375,0
5ebff6d34a4cf4438dba5d80,0
5eba6ecb9a9e129fb97b5dfd,1
5ebf5819ebac372b070b0e70,1
5d04e3db2ec1245228829a64,1
5aec22cec25735338c544690,0
5ec5cf37cd3da70de19c3f18,0
5d034039c822d263d90f58d4,0
5e940265ea3640c9ca0353aa,0
5c9ca27e5aee12258c2f341c,1
5d29bc2ed35393550e31d6f3,1
5e86c211d22ae539102d25c7,1
5d2407e66e8e037b4dd9fad3,1
5b0386696040cc41f2331c83,0
5d5d038d99df1e17cc9313cf,1
5ed0dfc51fa8446451b19c0d,0
5eb0f23c904507255ca6530c,1
5e4267d60640954a435e64f5,0
5b29e5b5080ea2661b2287f6,0
5eafcf8a1f07813cd5404b52,0
5c91e1ecb14bfa747e277427,1
5ccd341e8cc067595fcba7c4,0
5ec773b5967eb036b2c2e668,1
5de079e771151e6e9e85ee05,0
5e97e0c7cb3cec329c7b4e98,0
5ad987d8918dae087d633040,1
5cc67417a01bbd6b6c066df2,1
5d0b4268d5c8e1784b6e23b4,0
5c061cf358603c4b35a19363,1
5e5f5289a950c34147f0d94b,0
5cf5e44b3c8b9e101a5db52c,1
5d78eb19cc404c03393c83b5,0
5d5d038d99df1e17cc9313cf,1
544b079d1280fa28eee9b380,0
5b35cab04f75026255f2364a,0
5ebe0ead593b960eb1c82d0b,1
5e958754a9136f26ddb12929,1
5eb8b430e015797901090ac0,1
5e7f13c2bd7ab15d52e9b5f9,0
5d1db3c0e2b5cc0f74e091af,0
5e9d55038d475a01721c1c7f,1
5eaa6d9c8d99eb3ec06709f4,1
5a5db5398988991d7f7aec44,0
5e9fff5de4df1d32ef2ca70c,1
5a4b9eba2b0a1c3062666033,0
5e1bd924d7be4445acfa8c6d,0
5c5fc9a63af7386b63c00d25,1
5e6bbe2bb683599ccbb78637,1
5b1f9afe694fab75ca9fa8ea,0
5e9915ef9fae4f26f32f15df,1
5c78151c27202a28a75752b7,0
